backend,comparison,tick,float_psnr_db,ffmpeg_psnr_db,ffmpeg_ssim,max_abs_error,exact
wan,typed_vs_stepwise,0,inf,inf,1.0,0.0,True
wan,typed_vs_offline,0,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,1,inf,inf,1.0,0.0,True
wan,typed_vs_offline,1,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,2,inf,inf,1.0,0.0,True
wan,typed_vs_offline,2,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,3,inf,inf,1.0,0.0,True
wan,typed_vs_offline,3,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,4,inf,inf,1.0,0.0,True
wan,typed_vs_offline,4,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,5,inf,inf,1.0,0.0,True
wan,typed_vs_offline,5,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,6,inf,inf,1.0,0.0,True
wan,typed_vs_offline,6,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,7,inf,inf,1.0,0.0,True
wan,typed_vs_offline,7,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,8,inf,inf,1.0,0.0,True
wan,typed_vs_offline,8,inf,inf,1.0,0.0,True
wan,typed_vs_stepwise,9,inf,inf,1.0,0.0,True
wan,typed_vs_offline,9,inf,inf,1.0,0.0,True
taew2_2,typed_vs_stepwise,0,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,0,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,0,29.1742764850627,29.177956,0.774653,0.537109375,False
taew2_2,typed_vs_stepwise,1,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,1,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,1,30.64863114148014,30.648647,0.830595,0.61328125,False
taew2_2,typed_vs_stepwise,2,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,2,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,2,30.61878065191207,30.615358,0.813818,0.45703125,False
taew2_2,typed_vs_stepwise,3,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,3,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,3,30.689821131544228,30.67826,0.812572,0.478515625,False
taew2_2,typed_vs_stepwise,4,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,4,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,4,30.194395997040715,30.182226,0.800456,0.544921875,False
taew2_2,typed_vs_stepwise,5,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,5,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,5,29.47079349675315,29.460061,0.772231,0.640625,False
taew2_2,typed_vs_stepwise,6,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,6,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,6,29.385487782940793,29.377242,0.780209,0.5703125,False
taew2_2,typed_vs_stepwise,7,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,7,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,7,29.904941538693635,29.894597,0.795592,0.689453125,False
taew2_2,typed_vs_stepwise,8,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,8,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,8,30.29546709957836,30.274032,0.793126,0.759765625,False
taew2_2,typed_vs_stepwise,9,inf,inf,1.0,0.0,True
taew2_2,typed_vs_offline,9,inf,inf,1.0,0.0,True
taew2_2,typed_vs_full_wan,9,30.882600059752487,30.864307,0.815016,0.697265625,False
